Дата;ID сообщения;Заголовок;Текст;Источник;Url;Тип источника;Язык;Инфоповод
20.03.2017 0:00;9539;"Редактор ""Крым.Реалии"": Сотрудники провластных СМИ в Крыму пишут доносы на независимых журналистов";"Представители подконтрольных российским властям крымских СМИ доносят на независимых журналистов спецслужбам РФ.
Как сообщает ""Крым.Реалии"", об этом заявил редактор проекта Елена Юрченко на конференции ЮНЕСКО в Хельсинки, посвященной Всемирному дню свободы прессы.
""За независимыми журналистами в Крыму установлена слежка. Российские спецслужбы физически блокируют независимым журналистам возможность фото- и видеосъемки на публичных мероприятиях. В Крыму распространена практика доносов на независимых журналистов, в том числе и со стороны журналистов провластных изданий"", – заявила она.
Юрченко добавила, что Роскомнадзор блокирует доступ к интернет-сайтам независимых СМИ, а подконтрольная России прокуратура Крыма всячески этому способствует.
""Российские спецслужбы возбудили в Крыму несколько уголовных дел за профессиональную деятельность крымских журналистов. Их обвиняют по статье 280.1 Уголовного кодекса Российской Федерации (сепаратизм), за что предусмотрено пять лет лишения свободы. Дело журналиста Николая Семены стало третьим за последние два года, которое было возбуждено по этой статье"", – сказала редактор ""Крым.Реалии"".
Она напомнила, что крымские журналисты Анна Андриевская и Андрей Клименко, которых обвиняли в ""сепаратизме"", уже выехали из Крыма в Киев. Однако Николаю Семене запретили покидать полуостров.
Юрченко также заявила на конференции в Хельсинки, что свобода слова в Крыму уничтожается.
Россия аннексировала Крым после незаконного референдума 16 марта 2014 года. Присоединение полуострова к РФ не признается Украиной и большинством стран мира.

Представители подконтрольных российским властям крымских СМИ доносят на независимых журналистов спецслужбам РФ.

Как сообщает ""Крым.Реалии"", об этом заявил редактор проекта Елена Юрченко на конференции ЮНЕСКО в Хельсинки, посвященной Всемирному дню свободы прессы.

""За независимыми журналистами в Крыму установлена слежка. Российские спецслужбы физически блокируют независимым журналистам возможность фото- и видеосъемки на публичных мероприятиях. В Крыму распространена практика доносов на независимых журналистов, в том числе и со стороны журналистов провластных изданий"", – заявила она.

Юрченко добавила, что Роскомнадзор блокирует доступ к интернет-сайтам независимых СМИ, а подконтрольная России прокуратура Крыма всячески этому способствует.

""Российские спецслужбы возбудили в Крыму несколько уголовных дел за профессиональную деятельность крымских журналистов. Их обвиняют по статье 280.1 Уголовного кодекса Российской Федерации (сепаратизм), за что предусмотрено пять лет лишения свободы. Дело журналиста Николая Семены стало третьим за последние два года, которое было возбуждено по этой статье"", – сказала редактор ""Крым.Реалии"".

Она напомнила, что крымские журналисты Анна Андриевская и Андрей Клименко, которых обвиняли в ""сепаратизме"", уже выехали из Крыма в Киев. Однако Николаю Семене запретили покидать полуостров.

Россия аннексировала Крым после незаконного референдума 16 марта 2014 года. Присоединение полуострова к РФ не признается Украиной и большинством стран мира.";gordonua.com;http://gordonua.com/news/crimea/redaktor-krymrealii-sotrudniki-provalstnyh-smi-v-krymu-pishut-donosy-na-nezavisimyh-zhurnalistov-130795.html;Новости;Русский;шум
21.03.2017 0:00;10603;В июне в Крыму начнет работать оператор связи «КТК Телеком»;"Новый крымский оператор связи «КТК Телеком» в конце апреля получил разрешение на эксплуатацию опорной сети на полуострове и планирует начать подключение коммерческих абонентов в середине июня. Это «Коммерсанту» рассказал  гендиректор компании Дмитрий Клименко. Оператор будет работать под брендом Volna Mobile. По словам Клименко, пока компании разрешили использовать 40 объектов сети в Севастополе, но в течение мая она рассчитывает получить «большое количество разрешений» по всему полуострову. Как пишет газета, «КТК Телеком» построила опорную сеть в Крыму, но  радиосистему будет арендовать у другого крымского оператора — «К-Телекома».
Клименко объяснил, что благодаря договоренности с конкурентом о RAN-sharing  - совместном использовании сетей радиодоступа, удалось сэкономить время для запуска проекта. Инвестиции в проект он не раскрыл, но отметил, что платежи  «К-Телекому» за выделенную емкость радиосети составляют существенную долю затрат компании. В перспективе «КТК Телеком» рассчитывает договориться с «К-Телекомом» и о spectrum sharing (совместное использование частот), добавляет издание.
Роскомнадзор ситуацию не комментирует.
Начальник управления связи и информационных технологий правительства Севастополя Вадим Дворяченко сообщил, что «КТК Телеком» подписал роуминговое соглашение с «СевТелекомСвязью», совместным предприятием компании «Холдинг Прогресс» и госпредприятия «Севтелеком» (оказывает услуги сотовой связи в Севастополе под брендом «СевМобайл»). В Крыму также работают «К-Телеком» (оказывает услуги по всему полуострову; бренд Win Mobile), «Крымтелеком» (везде, кроме Севастополя), а также CDMA-оператор «Интертелеком» (везде), напоминает газета.";vedomosti.ru;http://www.vedomosti.ru/technology/news/2016/05/04/639898-ktk-telekom;Новости;Русский;шум
22.03.2017 0:00;11050;Российские СМИ обязали отчитаться о получении денег из-за рубежа;"Отечественные СМИ должны рассказывать о получении денег из-за рубежа. Такие правила утвердил кабмин. Они опубликованы на официальном интернет-портале правовой информации.СМИ обязаны в электронном виде раз в квартал уведомлять Роскомнадзор о получении средств от другой страны, международной организации, зарубежной организации ? агента НКО, иностранного гражданина, лица без гражданства или от российской организации, участниками или учредителями которой являются иностранцы.Файл должен содержать наименование получателя, реквизиты его счетов, информацию об основаниях получения денег, реквизиты платежных документов. Роскомнадзор в течение двух рабочих дней должен направить электронное подтверждение получения уведомления.""Не предоставление требуемой информации либо предоставление недостоверной информации влечет за собой административный штраф"", ? предупреждал ранее глава ведомства Александр Жаров.";rg.ru;http://rg.ru/2016/05/04/rossijskie-smi-obiazali-otchitatsia-o-poluchenii-deneg-iz-za-rubezha.html;Новости;Русский;шум
23.03.2017 0:00;11416;Интернет-СМИ могут освободить от ответственности за комментарии читателей;"МОСКВА, 5 мая — РИА Новости. Пользователям СМИ, которые хотят оставлять комментарии под материалами онлайн-изданий, предложат авторизоваться через портал госуслуг при помощи единой системы идентификации и аутентификации (ЕСИА), сообщила  газета ""Известия""  . Соответствующая инициатива включена в черновик ""дорожной карты"" Института развития интернета, которая будет отправлена президенту РФ Владимиру Путину.  Эту инициативу будут обсуждать в Госдуме после майских праздников на заседании экспертного совета при комитете по информационной политике с участием Минкомсвязи, Роскомнадзора, представителей Медиа-коммуникационного союза (МКС, объединяет крупнейших российских операторов связи), СМИ и главы комитета по информполитике Леонида Левина, сообщило издание.  ""Мы хотим дать возможность читателям СМИ авторизоваться через любые соцсети или портал госуслуг. Это касается только комментариев и должно быть на добровольной основе для СМИ"", — цитирует издание автора инициативы, главу центра компетенции ""Интернет плюс медиа"" ИРИ Александра Михеева.   По словам Михеева, внедрение такой системы позволит снять ответственность со СМИ за содержание комментариев и переложить ее на конкретных пользователей.   Близкий к правительству РФ источник газеты рассказал, что для работы такой системы придется внести ряд изменений в законодательство. В частности, согласно постановлению пленума Верховного суда 2010 года, официально зарегистрированные интернет-СМИ несут ответственность за комментарии читателей на форуме (т.е. пропагандирующие в том числе социальную, национальную или религиозную вражду) только в том случае, если такие комментарии останутся доступными для пользователей сайта после обращения Роскомнадзора с требованием об удалении или редактировании комментария. По словам собеседника ""Известий"" в госструктурах, чтобы реализовать инициативу, необходимо пересмотреть данное постановление, чтобы не СМИ несли ответственность за высказывания пользователей, а они сами, авторизовавшись через ЕСИА.   В Роскомнадзоре заявили, что с таким предложением они знакомы, но пока не получили никаких документов и потому не готовы прокомментировать ее по сути.";ria.ru;http://ria.ru/society/20160505/1426627330.html;Новости;Русский;шум
24.03.2017 0:00;667017;Роскомнадзор заблокировал не менее 23 тыс. интернет-ресурсов;Роскомнадзор заблокировал не менее 23 тыс. страниц, пропагандирующих группировку «Исламское государство» (Запрещена в России), за время работы с экстремистским контентом. Практически треть заблокированного контента пришлись на социальную сеть «ВКонтакте» и видеохостинг YouTube.По предварительным достоверным сведениям газеты, наиболее активно ИГ* продвигает в сети интернет видеоролики. «Обе площадки удаляют похожие материалы либо ограничивают доступ к ним с территории России», — говорится в докладе ведомства, на который ссылается издание. Так, понятно около 5-ти известных фильмов террористической группировки.Как отмечается, печатная продукция распространяется через сеть в электронном виде в формате PDF. Опрошенные изданием специалисты подчеркнули, что правоохранительные органы имеют информацию о 7-ми журналах экстремистской направленности, которые временами выходят на русском языке.;kremlinpress.com;http://kremlinpress.com/2017/03/24/roskomnadzor-zablokiroval-ne-menee-23-tis-internet-resursov/;Новости;Русский;ИГИЛ
24.03.2017 0:00;667517;СМИ сообщили о существовании русскоязычных редакций «Исламского государства»;"По данным «Известий», они были созданы для разработки фильмов и электронных журналов на русском языке.
Всего российским правоохранительным органам известно о существовании семи русскоязычных журналов террористов. Так, в сентябре минувшего года вышел первый номер журнала «Румия», разработанного медиацентром «Аль-Хайят».
Борьбу с экстремистским контентом ведёт  Роскомнадзор. Всего он заблокировал 23 тысячи сайтов и страниц в соцсетях с материалами, пропагандирующими терроризм.
«Исламское государство» — террористическая группировка, деятельность которой запрещена на территории России. ";govoritmoskva.ru;http://govoritmoskva.ru/news/114168/;Новости;Русский;ИГИЛ
24.03.2017 0:00;668666;Петербургская «фабрика троллей» разрослась до крупнейшего в РФ медиахолдинга;Пару лет назад СМИ писали о «фабрике троллей», расположенной в петербургском районе Ольгино. Их аудитория в середине зимы составляла около 9 млн. человек. На 2-м месте - «Экономика сегодня» (4,8 млн), на третьем — «Народные новости» (4,7 млн).В середине зимы текущего года посещаемость самого крупного интернет ресурса группы — Федерального агентства новостей (ФАН) — составила 11 млн человек. В позапрошлом 2015 г эти СМИ переехали в бизнес-центр «Ильич», прошлый босс ФАН сообщил, что соседство с «троллями» работало проектам «в минус». Руководитель агентства Евгений Зубарев, комментируя ситуацию, отрицал связь редакции агентства с «фабрикой», а период «прописки» на Савушкина объясняет удобством и низкой стоимостью аренды помещения.У него нет цельного юридического лица, но первые кабинеты всех объявлений находились по тому же самому адресу — улица Савушкина 55 в Петербурге. Общая аудитория 5-ти порталов «фабрики троллей» к концу зимы достигла 9 млн человек. Средняя заработная плата репортеров составляет приблизительно 50-55 тыс. руб. Содержание «фабрики медиа» с 200-250 сотрудниками обходится до 260 млн руб. в год. Источник, близкий к руководству группы, назвал иную сумму — практически 270 млн руб. По достоверной имеющейся информации «СПАРК-Интерфакса», в этом году прибыль ФАН составила 7,4 млн руб., «Невских новостей» — 1,8 млн руб. Один из источников РБК добавил, что прибыли организация не дает. Три из них — «Инфореактор», «ПолитЭксперт», «Ньюинформ» — зимой 2017-го получили свидетельства Роскомнадзора.СМИ учредило ООО «Новинфо», которое принадлежит Юрию Краснову. Вначале они работали в доме № 55 по улице Савушкина в Петербурге. Он подтвердил, что издания работают на Савушкина, 55. Выдержка из этого материала также размещена на сайте РБК. Рекламу располагают только РИА ФАН и «ПолитПазл». Кроме того, на сайте «Политпазл» внутри статьей появлялись маркетинговые видеоролики.По предварительным достоверным данным расследования, у редакций объявлений этого холдинга общий адрес со скандально популярной петербургской «фабрикой троллей», общее руководство, и вполне возможно - один инвестор — структуры, связанные с Евгением Пригожиным, собственником группы «Конкорд», которая обслуживает знаковые мероприятия с участием Президента России.Один из управляющих организации называет холдинг «частной компанией, которая содержит себя за счет рекламы». Но официально информацию о том, что «фабрику» спонсирует известный ресторатор, в его окружении не комментируют. Имя таинственного «частного инвестора» он категорически отказывается называть: «Помогают ли структуры Пригожина?» В ответ на прямой вопрос о помощи со стороны структур Пригожина он отвечает, что объяснять данную тему не может.;morning-news.ru;http://morning-news.ru/2017/03/peterburgskaya-fabrika-trolley-razroslas-do-krupneyshego-v/;Новости;Русский;Фабрика троллей
24.03.2017 0:00;667188;Роскомнадзор заблокировал 23 тысячи страниц с пропагандой ИГ;"Роскомнадзор заблокировал не менее 23 тыс. интернет-ресурсов, которые пропагандируют террористическую группировку «Исламское государство""*. «Больше всего экстремистского контента — в сумме практически треть общего числа — найдено в соцсети «ВКонтакте» и на видеохостинге YouTube».По располагаемым достоверным данным газеты, наиболее активно ИГ* продвигает в интернете видеоролики. Доступ к этим и им подобным материалам с территории РФ перекрыт, передает газета «Известия» ссылаясь на доклад Роскомнадзора.Кроме того, по достоверной последней информации ведомства ИГИЛ имеет русскоязычные редакции, которые распространяют в глобальной сети Интернет периодические печатные издания в формате PDF.По предварительным достоверным сведениям СМИ, профессионалам известно о 5-ти фильмах, созданных террористической организацией, а кроме этого о 7-ми электронных журналах экстремистской направленности, выходящих на русском языке.";belrynok.ru;http://belrynok.ru/2017/03/roskomnadzor-zablokiroval-23-tisyachi-stranic-s-propagandoy/;Новости;Русский;ИГИЛ
24.03.2017 0:00;667030;Роскомнадзор заблокировал более 23 тыс страниц с пропагандой ИГ*;МОСКВА, 24 марта Роскомнадзор за время работы с экстремистским контентом заблокировал более 23 тысяч ступеней, пропагандирующих запрещенную в России террористическую группировку Исламское государство * (ИГ), пишет газета Известия со ссылкой на доклад ведомства.    По данным газеты, наиболее активно ИГ* продвигает в сети видеоролики. Так, известно около пяти популярных фильмов террористической группировки.  Как означается, печатная продукция распространяется через сеть в электронном виде в формате PDF. По подобным собеседников газеты, российским правоохранителям известно о семи журналах максималистской направленности, выходящих периодически на русском языке.  *Террористическая организация, запрещенная в России.;news2world.net;http://news2world.net/obshhestvennye-novosti/roskomnadzor-zablokiroval-bolee-23-tis-stranits-s-propagandoy-ig.html;Новости;Русский;ИГИЛ
24.03.2017 0:00;667462;Роскомнадзор заблокировал более 23 тысяч страниц за пропаганду ИГИЛ?;"По данным ""Известий"", террористы создали несколько русскоязычных редакций для выпуска пропагандистских фильмов и электронных журналов.          За время работы с экстремистским контентом Роскомнадзор заблокировал более 23 тысяч страниц, пропагандирующих ИГИЛ*. Об этом сообщает газета &quot;Известия&quot; со ссылкой на доклад ведомства.По данным СМИ, специалистам известно о пяти фильмах, созданных террористической организацией, а также о семи электронных журналах экстремистской направленности, выходящих на русском языке.— Больше всего экстремистского контента — в сумме почти треть общего числа — найдено в соцсети &quot;ВКонтакте&quot; и на видеохостинге YouTube. Обе площадки удаляют подобные материалы или ограничивают доступ к ним с территории России, — сообщают &quot;Известия&quot;.Источник: life.ru";katyusha.org;http://katyusha.org/view?id=5079;Новости;Русский;ИГИЛ
